hallmark,category,model,run,llm_n,matched_picks,hit
MTORC1_SIGNALING,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,0,0
MYC_TARGETS_V1,indirect,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,0,0
MYC_TARGETS_V2,indirect,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,0,0
MYOGENESIS,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,0,0
NOTCH_SIGNALING,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,0,0
OXIDATIVE_PHOSPHORYLATION,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,0,0
P53_PATHWAY,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,0,0
PANCREAS_BETA_CELLS,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,0,0
PI3K_AKT_MTOR_SIGNALING,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,0,0
PPEROXISOME,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,0,0
PROTEIN_SECRETION,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,0,0
REACTIVE_OXYGEN_SPECIES_PATHWAY,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,1,1
SPERMATOGENESIS,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,0,0
TGF_BETA_SIGNALING,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,0,0
TNF_ALPHA_SIGNALING_VIA_NF_KB,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,9,0,0
UNFOLDED_PROTEIN_RESPONSE,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,0,0
UV_RESPONSE_DN,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,0,0
UV_RESPONSE_UP,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,0,0
WNT_BETA_CATENIN_SIGNALING,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,9,0,0
XENOBIOTIC_METABOLISM,direct,groq-qwen3.8-27b,groq-qwen3.8-27b-hallmark,10,1,1
ADIPOGENESIS,direct,qwen2.5-7b,test-hallmark,10,0,0
ALLOGRAFT_REJECTION,direct,qwen2.5-7b,test-hallmark,10,0,0
ANDROGEN_RESPONSE,direct,qwen2.5-7b,test-hallmark,10,0,0
ANGIOGENESIS,direct,qwen2.5-7b,test-hallmark,10,0,0
APICAL_JUNCTION,direct,qwen2.5-7b,test-hallmark,10,0,0
APICAL_SURFACE,direct,qwen2.5-7b,test-hallmark,10,0,0
APOPTOSIS,direct,qwen2.5-7b,test-hallmark,10,1,1
BILE_ACID_METABOLISM,direct,qwen2.5-7b,test-hallmark,10,0,0
CHOLESTEROL_HOMEOSTASIS,direct,qwen2.5-7b,test-hallmark,10,0,0
COAGULATION,direct,qwen2.5-7b,test-hallmark,10,1,1
COMPLEMENT,direct,qwen2.5-7b,test-hallmark,10,0,0
DNA_REPAIR,direct,qwen2.5-7b,test-hallmark,10,0,0
E2F_TARGETS,indirect,qwen2.5-7b,test-hallmark,10,0,0
EPITHELIAL_MESENCHYMAL_TRANSITION,direct,qwen2.5-7b,test-hallmark,10,0,0
ESTROGEN_RESPONSE_EARLY,direct,qwen2.5-7b,test-hallmark,6,0,0
ESTROGEN_RESPONSE_LATE,direct,qwen2.5-7b,test-hallmark,10,0,0
FATTY_ACID_METABOLISM,direct,qwen2.5-7b,test-hallmark,10,2,1
G2_M_CHECKPOINT,indirect,qwen2.5-7b,test-hallmark,10,0,0
GLYCOLYSIS,direct,qwen2.5-7b,test-hallmark,10,0,0
HEDGEHOG_SIGNALING,direct,qwen2.5-7b,test-hallmark,10,0,0
HEME_METABOLISM,direct,qwen2.5-7b,test-hallmark,10,0,0
HYPOXIA,direct,qwen2.5-7b,test-hallmark,10,0,0
IL_2_STAT5_SIGNALING,direct,qwen2.5-7b,test-hallmark,10,0,0
IL_6_JAK_STAT3_SIGNALING,direct,qwen2.5-7b,test-hallmark,10,0,0
INFLAMMATORY_RESPONSE,direct,qwen2.5-7b,test-hallmark,10,1,1
INTERFERON_ALPHA_RESPONSE,direct,qwen2.5-7b,test-hallmark,10,0,0
INTERFERON_GAMMA_RESPONSE,direct,qwen2.5-7b,test-hallmark,10,0,0
KRAS_SIGNALING_DN,indirect,qwen2.5-7b,test-hallmark,10,0,0
KRAS_SIGNALING_UP,indirect,qwen2.5-7b,test-hallmark,10,0,0
MITOTIC_SPINDLE,direct,qwen2.5-7b,test-hallmark,10,2,1
MTORC1_SIGNALING,direct,qwen2.5-7b,test-hallmark,10,0,0
MYC_TARGETS_V1,indirect,qwen2.5-7b,test-hallmark,10,0,0
MYC_TARGETS_V2,indirect,qwen2.5-7b,test-hallmark,10,0,0
MYOGENESIS,direct,qwen2.5-7b,test-hallmark,10,0,0
NOTCH_SIGNALING,direct,qwen2.5-7b,test-hallmark,10,0,0
OXIDATIVE_PHOSPHORYLATION,direct,qwen2.5-7b,test-hallmark,10,0,0
P53_PATHWAY,direct,qwen2.5-7b,test-hallmark,10,0,0
PANCREAS_BETA_CELLS,direct,qwen2.5-7b,test-hallmark,10,0,0
PI3K_AKT_MTOR_SIGNALING,direct,qwen2.5-7b,test-hallmark,10,0,0
PPEROXISOME,direct,qwen2.5-7b,test-hallmark,10,0,0
PROTEIN_SECRETION,direct,qwen2.5-7b,test-hallmark,10,0,0
REACTIVE_OXYGEN_SPECIES_PATHWAY,direct,qwen2.5-7b,test-hallmark,10,1,1
SPERMATOGENESIS,direct,qwen2.5-7b,test-hallmark,5,0,0
TGF_BETA_SIGNALING,direct,qwen2.5-7b,test-hallmark,10,0,0
TNF_ALPHA_SIGNALING_VIA_NF_KB,direct,qwen2.5-7b,test-hallmark,10,0,0
UNFOLDED_PROTEIN_RESPONSE,direct,qwen2.5-7b,test-hallmark,10,0,0
UV_RESPONSE_DN,direct,qwen2.5-7b,test-hallmark,10,0,0
UV_RESPONSE_UP,direct,qwen2.5-7b,test-hallmark,10,0,0
WNT_BETA_CATENIN_SIGNALING,direct,qwen2.5-7b,test-hallmark,7,0,0
XENOBIOTIC_METABOLISM,direct,qwen2.5-7b,test-hallmark,10,0,0
